Year,Value
1994,27.7363483281212
1995,5.5408398811722
1996,2.41234350692055
1997,11.1326769114358
1998,24.092239445928197
1999,18.1493629112824
2000,5.50671943043892
2001,6.328444617613161
2002,32.539765278525
2003,8.95660484007469
2004,3.61884814255504
2005,1.3656999529668001
2006,0.263254323515413
2007,0.6139022154294179
2008,1.6134495013146202
2009,17.0246705596873
2010,26.470004685777504
2011,7.475833643996121
2012,0.266590032280716
2013,3.87924947269522
2014,0.671653248236631
2015,0.537498646171045
2016,0.24564425157917
2017,0.0803597240537701
